mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__bootstrap,param_clf__class_weight,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,Antibiotic,Model,param_clf__C,param_clf__l1_ratio,param_clf__max_iter,param_clf__penalty,param_clf__solver
2.146073055267334,0.0665044379067347,0.16296796798706054,0.016013694146142763,False,balanced_subsample,5.0,0.5,8.0,15.0,926.0,"{'clf__bootstrap': False, 'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 5, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 15, 'clf__n_estimators': 926}",0.9587234042553192,0.9397163120567376,0.9534574468085106,0.9813829787234043,0.9400000000000001,0.9546560283687944,0.015299047752382236,66,imipenem,Random Forest,,,,,
0.654040002822876,0.03335178500010866,0.06882104873657227,0.0037563637825317273,False,balanced,30.0,0.7,2.0,16.0,252.0,"{'clf__bootstrap': False, 'clf__class_weight': 'balanced', 'clf__max_depth': 30, 'clf__max_features': 0.7, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 16, 'clf__n_estimators': 252}",0.9451063829787234,0.9627659574468085,0.9676418439716312,0.9937943262411348,0.948695652173913,0.9636008325624422,0.017279368726967215,26,imipenem,Random Forest,,,,,
2.388058614730835,0.02597486833354104,0.18619585037231445,0.014620306200175556,False,balanced_subsample,,0.5,9.0,16.0,1012.0,"{'clf__bootstrap': False, 'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 9, 'clf__min_samples_split': 16, 'clf__n_estimators': 1012}",0.9612765957446808,0.9503546099290779,0.9658687943262412,0.9867021276595744,0.9452173913043478,0.9618839037927843,0.014442227439380286,39,imipenem,Random Forest,,,,,
2.0885770320892334,0.024949252996219962,0.13334426879882813,0.01152177677298546,True,balanced,,sqrt,8.0,12.0,698.0,"{'clf__bootstrap': True, 'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 8, 'clf__min_samples_split': 12, 'clf__n_estimators': 698}",0.9246808510638298,0.9326241134751773,0.8993794326241135,0.9698581560283688,0.8765217391304346,0.9206128584643848,0.03156201299006035,94,imipenem,Random Forest,,,,,
3.0334749698638914,0.023421920433531022,0.13682107925415038,0.007253080238582692,True,balanced_subsample,10.0,0.3,1.0,6.0,689.0,"{'clf__bootstrap': True, 'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 10, 'clf__max_features': 0.3, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 6, 'clf__n_estimators': 689}",0.9697872340425532,0.9689716312056738,0.984485815602837,0.9911347517730497,0.9408695652173913,0.971049799568301,0.017324498450883987,2,imipenem,Random Forest,,,,,
4.611192941665649,0.04593355993357402,0.19005265235900878,0.007442608162253097,True,balanced_subsample,,0.5,7.0,10.0,1039.0,"{'clf__bootstrap': True, 'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 10, 'clf__n_estimators': 1039}",0.9561702127659575,0.9521276595744681,0.9632092198581561,0.9849290780141844,0.931304347826087,0.9575481036077707,0.01733078481121866,59,imipenem,Random Forest,,,,,
2.69090051651001,0.030110713218107345,0.20317645072937013,0.013455130013499204,False,balanced_subsample,,0.7,3.0,13.0,1071.0,"{'clf__bootstrap': False, 'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__max_features': 0.7, 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 13, 'clf__n_estimators': 1071}",0.9468085106382979,0.9627659574468085,0.9747340425531915,0.9929078014184398,0.9408695652173913,0.9636171754548257,0.018879804341935636,25,imipenem,Random Forest,,,,,
2.6419310092926027,0.02603444260485392,0.20346245765686036,0.01551194081960302,False,balanced,10.0,sqrt,3.0,6.0,1142.0,"{'clf__bootstrap': False, 'clf__class_weight': 'balanced', 'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 6, 'clf__n_estimators': 1142}",0.9578723404255319,0.9671985815602837,0.9658687943262411,0.9902482269503545,0.9043478260869565,0.9571071538698736,0.02849935493941382,62,imipenem,Random Forest,,,,,
2.6162024974822997,0.009583255997112447,0.20062642097473143,0.007148325003910371,False,balanced,,0.7,7.0,15.0,1070.0,"{'clf__bootstrap': False, 'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__max_features': 0.7, 'clf__min_samples_leaf': 7, 'clf__min_samples_split': 15, 'clf__n_estimators': 1070}",0.9612765957446808,0.9468085106382979,0.9587765957446809,0.9884751773049645,0.9469565217391303,0.9604586802343509,0.015212218221884646,44,imipenem,Random Forest,,,,,
1.351597499847412,0.011595243239727746,0.08883323669433593,0.007301327652504617,True,balanced,5.0,log2,3.0,8.0,440.0,"{'clf__bootstrap': True, 'clf__class_weight': 'balanced', 'clf__max_depth': 5, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 3, 'clf__min_samples_split': 8, 'clf__n_estimators': 440}",0.9246808510638297,0.9530141843971631,0.9055851063829788,0.972517730496454,0.8660869565217392,0.9243769657724329,0.037117583495705764,91,imipenem,Random Forest,,,,,
